lead_id,score
104332254,8
104334572,7
104334676,3
104335880,1
104336965,8
104341596,8
104343173,1
104343389,5
104345224,1
104348478,8
104349362,2
104350888,7
104351788,8
104351904,1
104355700,10
104357775,8
104370379,1
104370389,1
104370721,10
104370802,7
104371092,10
104373307,10
104375179,1
104380076,10
104380106,10
104380506,10
104381813,7
104394107,1
104396519,1
104398823,1
104404158,10
104463741,5
104467083,4
104576582,5
104584105,1
104598552,10
104601417,10
104622236,1
104623661,10
104625180,7
104640528,8
104640871,5
104648957,10
104670820,4
104672519,3
104673163,5
104674004,10
104677541,7
104683636,8
104707540,8
104707876,1
104712073,5
